,mobile_url,mobile_name,mobile_price,mobile_rating,mobile_strike_Price,mobile_desc
20,https://filpkart.com/infinix-hot-30i-mirror-black-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2QRUEBEHG&lid=LSTMOBGNPK2QRUEBEHGKBH4RF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK2QRUEBEHG.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Mirror Black, 64 GB)","₹8,399",4.2,"₹9,999","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
21,https://filpkart.com/motorola-g73-5g-lucent-white-128-gb/p/itm372a03ce2292a?pid=MOBGKHNB3VDGJFVZ&lid=LSTMOBGKHNB3VDGJFVZN7JGWM&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGKHNB3VDGJFVZ.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"MOTOROLA g73 5G (Lucent White, 128 GB)","₹15,999",4,"₹21,999","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 8MP | 16MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 930 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
22,https://filpkart.com/motorola-g84-5g-midnight-blue-256-gb/p/itm30dd9d1ed8bb8?pid=MOBGQFX68CXMTSGK&lid=LSTMOBGQFX68CXMTSGKYSK1KB&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGQFX68CXMTSGK.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"MOTOROLA g84 5G (Midnight Blue, 256 GB)","₹19,999",4.2,"₹22,999","['12 GB RAM | 256 GB ROM', '16.64 cm (6.55 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '1 Year on Handset and 6 Months on Accessories']"
23,https://filpkart.com/redmi-12-pastel-blue-128-gb/p/itm48719506a7ceb?pid=MOBGRMFKKGYD9ETX&lid=LSTMOBGRMFKKGYD9ETX5KD9VL&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGRMFKKGYD9ETX.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"REDMI 12 (Pastel Blue, 128 GB)","₹9,999",4.3,"₹14,999","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 8MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G88 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']"
24,https://filpkart.com/realme-c53-champion-gold-64-gb/p/itm5df90168ecd05?pid=MOBGQY939DG9GBQ8&lid=LSTMOBGQY939DG9GBQ8XN2GK7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=d74c461b-af47-46e6-a25e-d2401b1b1a56.MOBGQY939DG9GBQ8.SEARCH&ppt=None&ppn=None&ssid=3hrnu503w00000001695621650014&qH=532c28d5412dd75b,"realme C53 (Champion Gold, 64 GB)","₹10,999",4.4,"₹12,999","['6 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
25,https://filpkart.com/motorola-g32-mineral-gray-128-gb/p/itm6061450cb40ac?pid=MOBGM2EHJUTMXMFV&lid=LSTMOBGM2EHJUTMXMFVL5MPKC&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=d74c461b-af47-46e6-a25e-d2401b1b1a56.MOBGM2EHJUTMXMFV.SEARCH&ppt=None&ppn=None&ssid=3hrnu503w00000001695621650014&qH=532c28d5412dd75b,"MOTOROLA G32 (Mineral Gray, 128 GB)","₹11,999",4.1,"₹18,999","['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year on Handset and 6 Months on Accessories']"
26,https://filpkart.com/realme-c53-champion-black-64-gb/p/itm5df90168ecd05?pid=MOBGQY93HQSAGAXG&lid=LSTMOBGQY93HQSAGAXGQLZ2WK&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=d74c461b-af47-46e6-a25e-d2401b1b1a56.MOBGQY93HQSAGAXG.SEARCH&ppt=None&ppn=None&ssid=3hrnu503w00000001695621650014&qH=532c28d5412dd75b,"realme C53 (Champion Black, 64 GB)","₹10,999",4.4,"₹12,999","['6 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '17.12 cm (6.74 inch) HD Display', '108MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'T612 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
27,https://filpkart.com/redmi-12-moonstone-silver-128-gb/p/itm6722b15672602?pid=MOBGRMFK4CSR7GGH&lid=LSTMOBGRMFK4CSR7GGHHKEX2Z&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=d74c461b-af47-46e6-a25e-d2401b1b1a56.MOBGRMFK4CSR7GGH.SEARCH&ppt=None&ppn=None&ssid=3hrnu503w00000001695621650014&qH=532c28d5412dd75b,"REDMI 12 (Moonstone Silver, 128 GB)","₹11,499",4.2,"₹15,999","['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 8MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G88 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories']"
28,https://filpkart.com/poco-m6-pro-5g-power-black-64-gb/p/itm539f4c528c1d9?pid=MOBGRNZ3RT5DNKKD&lid=LSTMOBGRNZ3RT5DNKKDYSRKNX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=d74c461b-af47-46e6-a25e-d2401b1b1a56.MOBGRNZ3RT5DNKKD.SEARCH&ppt=None&ppn=None&ssid=3hrnu503w00000001695621650014&qH=532c28d5412dd75b,"POCO M6 Pro 5G (Power Black, 64 GB)","₹10,999",4.4,"₹14,999","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.25 cm (6.79 inch) Full HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Snapdragon 4 Gen 2 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
29,https://filpkart.com/vivo-v29e-5g-artistic-red-256-gb/p/itmaaa634624a459?pid=MOBGSZM93HBUUCCZ&lid=LSTMOBGSZM93HBUUCCZ5YXZTX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=d74c461b-af47-46e6-a25e-d2401b1b1a56.MOBGSZM93HBUUCCZ.SEARCH&ppt=None&ppn=None&ssid=3hrnu503w00000001695621650014&qH=532c28d5412dd75b,"vivo V29e 5G (Artistic Red, 256 GB)","₹28,999",4.4,"₹33,999","['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Full HD+ Display', '64MP + 8MP | 50MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
